ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
AFG,Afghanistan,2015,19.8,12.4,0,0,1,7.3,2.5,17.3
ALB,Albania,2015,11.9,1.2,0,0.3,0,8.7,1.9,16.3
DZA,Algeria,2015,12.9,5,0,0.1,0.1,6.2,0.8,13.2
AND,Andorra,2015,2.7,0.1,0,0,0,6.1,0.8,19.6
AGO,Angola,2015,17.4,14.7,6.3,1.2,0.3,5.3,1.4,17.5
ATG,Antigua & Barbuda,2015,3.2,0,0,2.6,0,4.5,0,27.5
ARG,Argentina,2015,7.4,1.3,0,0.1,0,7.8,1.3,18.8
ARM,Armenia,2015,10.7,1.3,0,0.2,0,8.5,1.7,15.2
AUS,Australia,2015,2.7,0.3,0.1,0,0,7.7,0.9,29
AUT,Austria,2015,1.5,0.4,0,0.1,0,4.9,1.8,26
AZE,Azerbaijan,2015,12.2,5.9,0,0.1,0,6.2,0.6,15.2
BHS,Bahamas,2015,13,0.6,0,0.9,0,9.9,0.6,22.8
BHR,Bahrain,2015,2.3,0.4,0,0.4,0,5.6,1.2,28.6
BGD,Bangladesh,2015,14.5,6,0.2,0,1.9,6,1.5,12.6
BRB,Barbados,2015,2.6,0,0,0,0,6.6,0,27.1
BLR,Belarus,2015,6.1,0.6,0,0.1,0,8.1,1.3,16.8
BEL,Belgium,2015,1.6,0.1,0,0,0,9.7,1.6,29.7
BLZ,Belize,2015,8.3,3.1,0,1.2,0,7,1.5,22.1
BEN,Benin,2015,15.4,10.8,11.6,1.1,0.7,5.7,2.4,16.8
BTN,Bhutan,2015,14.6,6.2,0,1.6,0,7.5,1.2,14.5
BOL,Bolivia,2015,13.9,6.1,0,0.3,0,7.5,1,13.8
BIH,Bosnia & Herzegovina,2015,5.1,0.4,0,0.1,0.8,2.9,0.5,11.1
BWA,Botswana,2015,12.4,6.3,0,5.1,0.7,6.4,0.6,16.2
BRA,Brazil,2015,9.1,2.5,0,0.2,0,6.1,1.2,22.6
BRN,Brunei,2015,3.7,2.3,0,0,0,2.8,0.3,31.1
BGR,Bulgaria,2015,17,1.1,0,0,0.4,5.2,1.8,11.8
BFA,Burkina Faso,2015,12.8,8.2,21.4,0.6,2.3,5.8,2,14.4
BDI,Burundi,2015,16,10.1,6.5,0.9,0.1,7.9,1.8,18.9
KHM,Cambodia,2015,16.5,6.7,0.3,0.5,0,8.1,1.8,14.3
CMR,Cameroon,2015,15.5,11.3,9.9,4,0.2,6.9,1.8,16.4
CAN,Canada,2015,2.1,0.3,0,0,0,6.7,1,18.8
CPV,Cape Verde,2015,13.7,5.3,0,0.7,0,4.8,1.3,18.5
CAF,Central African Republic,2015,16,10.4,15.3,3.4,0.9,4.4,3.5,12.1
TCD,Chad,2015,23.3,13.7,6,2.1,0.2,5.6,5,12.7
CHL,Chile,2015,3.5,0.1,0,0.1,0,6.5,0.9,15.1
CHN,China,2015,12.1,2.8,0,0.2,0.3,16.6,1.4,12.4
COL,Colombia,2015,10.2,2.1,0.1,0.2,0,6.7,1.2,20.4
COM,Comoros,2015,15.8,7.5,7.9,1.1,0,5.1,2.1,13.6
