ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2014,0,24.8,0,1,13.8
ALB,Albania,2014,0,0.4,0,0,2.4
DZA,Algeria,2014,0,2.6,0,0.2,3.1
AND,Andorra,2014,0,0,0,0,0.3
AGO,Angola,2014,4,49.4,20.2,6.6,16.8
ATG,Antigua & Barbuda,2014,0.4,0,0,0,0.6
ARG,Argentina,2014,0,0.4,0,0,2.1
ARM,Armenia,2014,0,0.4,0,0,2.6
AUS,Australia,2014,0,0,0,0,0.6
AUT,Austria,2014,0,0,0,0,0.3
AZE,Azerbaijan,2014,0,3.9,0,0,3.9
BHS,Bahamas,2014,0.2,0.2,0,0,2.5
BHR,Bahrain,2014,0,0,0,0,0.6
BGD,Bangladesh,2014,0,5,0.2,0.8,4.8
BRB,Barbados,2014,0,0,0,0,1.8
BLR,Belarus,2014,0,0,0,0,0.8
BEL,Belgium,2014,0,0,0,0,0.8
BLZ,Belize,2014,0.4,1,0,0,2.3
BEN,Benin,2014,2.2,22.6,23.8,3.8,11.5
BTN,Bhutan,2014,1,4.5,0,0,5.2
BOL,Bolivia,2014,0.2,5.2,0,0,5.9
BIH,Bosnia and Herzegovina,2014,0,0,0,0.2,0.3
BWA,Botswana,2014,4.5,5.8,0,0.2,5.5
BRA,Brazil,2014,0,0.8,0,0,1.8
BRN,Brunei,2014,0,0.4,0,0,0.8
BGR,Bulgaria,2014,0,0.2,0,0,1.1
BFA,Burkina Faso,2014,1.2,15.2,43,3.4,10.1
BDI,Burundi,2014,1.4,17.3,11,0.2,12.8
KHM,Cambodia,2014,4,14.4,33,1,7.7
CMR,Cameroon,2014,0.4,2.6,0,0,2.4
CAN,Canada,2014,0.4,4.3,0.2,0,4.8
CPV,Cape Verde,2014,7.3,21,17.8,0.8,12.3
CAF,Central African Republic,2014,0,0,0,0,0.6
TCD,Chad,2014,9,28.4,42.2,3.2,11.2
CHL,Chile,2014,5.8,40.2,17.2,1,15.5
CHN,China,2014,0,0,0,0,1
COL,Colombia,2014,0,0.6,0,0.2,3.7
COM,Comoros,2014,0,0.6,0,0,2.2
COG,Congo,2014,1.6,11.7,11.6,0,7.6
COD,Congo DR,2014,5.9,6.9,5.4,0.6,6.2
COK,Cook Islands,2014,0,0.2,0,0,0.9
CRI,Costa Rica,2014,0,0.2,0,0,0.8
CIV,Cote d Ivoire,2014,0,0,0,0,0.4
HRV,Croatia,2014,0,0.2,0,0,0.9
CUB,Cuba,2014,0,0,0,0,0.3
CYP,Cyprus,2014,0,0,0,0,0.6
CZE,Czech Republic,2014,0,3.2,0,0,3.7
DNK,Denmark,2014,2.2,21.6,26.2,2.6,11.2
DJI,Djibouti,2014,0,0,0,0,0.2
DMA,Dominica,2014,4.2,11.4,0.4,0.6,7.8
DOM,Dominican Republic,2014,0,1,0,0,2.6
ECU,Ecuador,2014,0.6,2.2,0,0,4
EGY,Egypt,2014,0,1.8,0,0,3.6
SLV,El Salvador,2014,0,2.4,0,0.4,2.8
GNQ,Equatorial Guinea,2014,0.4,2,0,0,2.2
ERI,Eritrea,2014,8.7,15.2,16.8,22.2,8.6
EST,Estonia,2014,0.8,9,0.4,5.6,8.4
ETH,Ethiopia,2014,0,0,0,0,1.1
FSM,Federated States of Micronesia,2014,1.2,10.8,1.4,10.4,8.9
FJI,Fiji,2014,0,1.8,0,0,5.8
FIN,Finland,2014,0,0,0,0,0.4
FRA,France,2014,0,0.2,0,0,0.6
GAB,Gabon,2014,5.6,6.6,5.8,2,5
GMB,Gambia,2014,3.4,12.6,5,0.4,9.4
GEO,Georgia,2014,0,0.2,0,0,1.8
DEU,Germany,2014,0,0,0,0,0.4
GHA,Ghana,2014,1.6,8.6,15.8,0,7.2
GRC,Greece,2014,0,0,0,0,0.4
GRD,Grenada,2014,0,0.4,0,0,2
GTM,Guatemala,2014,0.8,4.6,0,0,5.6
GIN,Guinea,2014,1,16.4,40,2.8,8.9
GNB,Guinea-Bissau,2014,6.7,18.8,7.6,1.8,10.1
GUY,Guyana,2014,0.6,4,5.2,0,5.4
HTI,Haiti,2014,1,15.4,0.4,0,10.6
HND,Honduras,2014,0.6,3.4,0,0,1.6
HUN,Hungary,2014,0,0,0,0,0.5
ISL,Iceland,2014,0,0,0,0,0
IND,India,2014,0.4,9.6,0.6,2.4,3.6
IDN,Indonesia,2014,0.6,3.4,0.8,1.6,3.8
IRN,Iran,2014,0,1.4,0,0,2
IRQ,Iraq,2014,0,3.6,0,0,4.4
IRL,Ireland,2014,0,0,0,0,0.4
ISR,Israel,2014,0,0,0,0,0.5
ITA,Italy,2014,0,0,0,0,0.2
JAM,Jamaica,2014,1,0.6,0,0,1.6
JPN,Japan,2014,0,0.2,0,0,0.6
JOR,Jordan,2014,0,1,0,0,3.2
KAZ,Kazakhstan,2014,0,1.8,0,0,2.5
KEN,Kenya,2014,5.8,7.8,5.2,0.4,7
KIR,Kiribati,2014,0,11.4,0,0,8.4
PRK,North Korea,2014,0,0,0,0,1.2
KOR,South Korea,2014,0.2,2.4,0,0,3.7
KWT,Kuwait,2014,0.4,16.2,0.6,0.4,11.5
KGZ,Kyrgyzstan,2014,0,0,0,0,1.2
LAO,Lao,2014,0,0.4,0,0,1
LVA,Latvia,2014,18.8,18.2,0,0.6,10.4
LBN,Lebanon,2014,1.8,13.4,19.6,2.6,8.6
LSO,Lesotho,2014,0,0.6,0,0,3
LBR,Liberia,2014,0,0,0,0,1.2
LBY,Libya,2014,0,0,0,0,0.3
LTU,Lithuania,2014,0.6,9.8,3.8,0.4,8.5
LUX,Luxembourg,2014,10.2,10.6,10,0.4,8.8
MKD,Macedonia,2014,0,0.2,0,0,0.8
MDG,Madagascar,2014,0,0.4,0,0,0.9
MWI,Malawi,2014,3.2,23.4,54.2,2.6,10.7
MYS,Malaysia,2014,0,0,0,0,0.2
MDV,Maldives,2014,0,5.8,0,0,5.6
MLI,Mali,2014,1.8,19.4,6.6,2.4,10.7
MLT,Malta,2014,0,0.6,0,0,1.4
MHL,Marshall Islands,2014,0,0.8,0,0,2
MRT,Mauritania,2014,0,4.6,0,0,4.9
MUS,Mauritius,2014,0,0,0,0,0.8
MEX,Mexico,2014,0,3,0,0,3.6
MDA,Moldova,2014,0,0,0,0,0.2
MCO,Monaco,2014,0,2.7,0,0,3.7
MNG,Mongolia,2014,8.1,14.6,22.2,0.2,9
MNE,Montenegro,2014,0.6,7.8,1.4,1.2,7.1
MAR,Morocco,2014,4.3,8.5,0.2,0,7.2
MOZ,Mozambique,2014,0,4.3,0,0,4
MMR,Myanmar,2014,0.2,4.7,0,0,4.8
NAM,Namibia,2014,0,0,0,0,0.4
NRU,Nauru,2014,0,0,0,0,1.7
NPL,Nepal,2014,0.2,3.8,0,0,2.4
NLD,Netherlands,2014,1,22.6,21.2,0.6,12.6
NZL,New Zealand,2014,7.7,23.7,30.4,1.6,11.2
NIC,Nicaragua,2014,0,1.6,0,0,15.6
NER,Niger,2014,0,0,0,0,0.2
NGA,Nigeria,2014,0,0.2,0,0,2
NIU,Niue,2014,0,15.6,0.2,0.4,10.9
NOR,Norway,2014,0,0.4,0,0,4.6
OMN,Oman,2014,0,1.8,0,0,1.3
PAK,Pakistan,2014,1.4,8.4,14,5.4,6.9
PLW,Palau,2014,0.4,2.6,0,0,2.5
PAN,Panama,2014,0.2,1.6,0,0,3.2
PNG,Papua New Guinea,2014,0,4.6,0,0.8,5.1
PRY,Paraguay,2014,0,0,0,0,0.4
PER,Peru,2014,0,0,0,0,0.6
PHL,Philippines,2014,0,0,0,0,1.6
POL,Poland,2014,0,0,0,0,0.7
PRT,Portugal,2014,0,0.2,0,0,2.2
QAT,Qatar,2014,0,0.2,0,0,1.6
ROU,Romania,2014,0.2,0.2,0,0,1.6
RUS,Russian Federation,2014,0.8,6.8,3.6,0,7.4
RWA,Rwanda,2014,0,0.8,0,0,1.4
